Driver,DriverNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Sector2SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,FastF1Generated,IsAccurate,RaceName,Year,Pitted,CompoundEncoded,LapTimeDelta,LapTimeRolling3,DegradationFromStintStart,TotalLaps,RacePctComplete,LapsRemaining,IsLateRace
ALB,23,-1.1606040559995905,-1.484466191194032,0.5083701831654048,1.3994402450046397,-1.1708419537669243,0.5652550538463537,0.9709715005544348,-1.8060845362310665,0.7618338343890022,False,MEDIUM,-0.28234156240121305,False,Williams,1,1.2994995229985702,False,True,Abu Dhabi,2023,0,-0.6485936282958183,0.11580445563780103,0.04749531306651379,0.0955749580911637,-0.3833897410864518,-1.0794375982469084,0.8829038373464311,0
ALB,23,-1.1606040559995905,-1.4882374444772783,0.505529010215686,1.4076087484134119,-1.1152665897220115,0.4974682163230784,1.0144075551995435,-1.8060845362310665,0.7618338343890022,False,MEDIUM,-0.18636983737693413,False,Williams,1,1.2994995229985702,False,True,Abu Dhabi,2023,0,-0.6485936282958183,0.11794479970736392,0.05733163921117672,0.09516173840349103,-0.3833897410864518,-1.019066222157091,0.828236593778371,0
ALB,23,-1.1606040559995905,-1.4849375978544377,0.45993494907019933,1.4191641922599665,-1.059857497695467,0.5426594413385952,1.2967419103927502,-1.8385546100669468,0.8420599971355753,False,MEDIUM,-0.09039811235265521,False,Williams,1,0.9334763271100996,False,True,Abu Dhabi,2023,0,-0.6485936282958183,0.07264085023489902,0.04862304472641142,0.06850906854863652,-0.3833897410864518,-0.9586948460672734,0.773569350210311,0
ALB,23,-1.1606040559995905,-1.4990797976666106,0.507017243665539,1.3587969597512406,-1.004257344004179,0.5200638288308368,0.9709715005544348,-1.7736144623951862,0.5612684275225692,False,MEDIUM,0.005573612671623705,False,Williams,1,0.5674531312216289,False,True,Abu Dhabi,2023,0,-0.6485936282958183,0.11063195746968288,0.03900599973784029,0.06386034706232444,-0.3833897410864518,-0.8983234699774557,0.718902106642251,0
ALB,23,-1.1606040559995905,-1.5034795931637315,0.5247407511137847,1.353019237827964,-0.9487781154171593,0.5200638288308368,1.0578436098446522,-1.7736144623951862,0.6414945902691425,False,MEDIUM,0.10154533769590263,False,Williams,1,0.20142993533315823,False,True,Abu Dhabi,2023,0,-0.6485936282958183,0.13185703615953923,0.031832373345713566,0.07150491128425937,-0.3833897410864518,-0.8379520938876382,0.664234863074191,0
ALB,23,-1.1606040559995905,-1.5034795931637315,0.5247407511137847,1.353019237827964,-0.8933339551103773,0.5200638288308368,1.0578436098446522,-1.7736144623951862,0.6414945902691425,False,MEDIUM,0.19751706272018155,False,Williams,1,0.38444153327739355,False,False,Abu Dhabi,2023,1,-0.6485936282958183,0.13185703615953923,0.0315817663101818,0.07150491128425937,-0.3833897410864518,-0.7775807177978209,0.6095676195061309,0
ALB,23,0.00949671470496983,1.7600687168253555,0.4941643184168113,1.2791042435681057,-0.8238902954825127,0.4974682163230784,0.8189453092965543,-1.6762042408875453,0.36070302065613635,False,HARD,-1.3380305376682813,True,Williams,1,1.665522718887041,False,False,Abu Dhabi,2023,0,0.6581387016773522,0.11330738755663967,1.930775859216037,2.2788211779070737,-0.3833897410864518,-0.7172093417080034,0.5549003759380708,0
ALB,23,0.00949671470496983,-1.520764504045276,0.4424820295219261,1.2438402166570683,-0.7690870382283501,0.5200638288308368,0.862381363941663,-1.6112640932157847,0.40081610202942297,True,HARD,-1.2420588126440022,True,Williams,1,1.665522718887041,False,True,Abu Dhabi,2023,0,0.6581387016773522,-3.705066432547944,0.9234295540125194,0.06417026182807857,-0.3833897410864518,-0.6568379656181857,0.5002331323700109,0
ALB,23,0.00949671470496983,-1.5209216395987446,0.45127613627105634,1.253004879018129,-0.7143521036580985,0.5200638288308368,0.862381363941663,-1.6762042408875453,0.3205899392828498,False,HARD,-1.1460870876197233,True,Williams,1,1.665522718887041,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.13827806836823553,0.5910932990165911,0.07553380323906318,-0.3833897410864518,-0.5964665895283683,0.44556588880195086,0
ALB,23,0.00949671470496983,-1.5237500795611787,0.4362585078225422,1.2426448259143215,-0.6596673530061178,0.5200638288308368,0.927535445909326,-1.6762042408875453,0.36070302065613635,True,HARD,-1.0501153625954445,True,Williams,1,1.665522718887041,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.08637472468127635,-0.08269504189277414,0.05683561237189776,-0.3833897410864518,-0.5360952134385506,0.3908986452338908,0
